feature,value,0,1,2
mlp_2_1_outputs,8,-0.6938048,0.32535148,1.218688
mlp_2_1_outputs,9,-0.30829337,0.23358017,0.6234566
num_attn_0_0_outputs,_,-1.7610066,0.36854836,-0.49436003
num_attn_0_1_outputs,_,-1.0699338,-0.37430555,2.077129
num_attn_0_2_outputs,_,5.5970054,-2.3729231,-3.239733
num_attn_0_3_outputs,_,-1.1043038,0.34080812,1.4031905
num_attn_1_0_outputs,_,0.65490687,-0.12496242,-0.27377734
num_attn_1_1_outputs,_,5.6660786,-0.04349277,-3.4703674
num_attn_1_2_outputs,_,0.610759,0.66041124,-0.03271358
num_attn_1_3_outputs,_,1.4099444,0.49645442,0.27362406
num_attn_2_0_outputs,_,0.14087136,-0.07506287,-0.26083913
num_attn_2_1_outputs,_,0.31642118,0.29659066,-0.09194319
num_attn_2_2_outputs,_,0.91385776,0.27868712,0.03429213
num_attn_2_3_outputs,_,0.5416005,0.56726927,-0.17283192
num_mlp_0_0_outputs,0,-1.4965396,-0.24079043,0.03718543
num_mlp_0_0_outputs,1,-0.5205979,0.61710197,0.9089457
num_mlp_0_0_outputs,10,-0.93000764,0.17895688,0.7575355
num_mlp_0_0_outputs,11,-1.064611,-0.06413343,0.27035668
num_mlp_0_0_outputs,12,-1.2419939,-0.10859588,0.105427586
num_mlp_0_0_outputs,13,-0.7360583,0.24850605,0.77522385
num_mlp_0_0_outputs,14,-0.8060427,-0.17756405,0.78393114
num_mlp_0_0_outputs,15,-1.517632,-0.22405551,0.40756172
num_mlp_0_0_outputs,2,-0.96106416,0.025976699,0.6962017
num_mlp_0_0_outputs,3,-1.639789,-0.5860433,0.010492642
num_mlp_0_0_outputs,4,-0.48089948,0.4967839,0.93885773
num_mlp_0_0_outputs,5,-1.1403584,0.003957401,0.33449388
num_mlp_0_0_outputs,6,-1.6037413,-0.36043343,0.21605194
num_mlp_0_0_outputs,7,-0.92993206,0.47447672,0.9360044
num_mlp_0_0_outputs,8,-1.0883809,0.09945699,0.6615577
num_mlp_0_0_outputs,9,-0.8254852,0.19445543,0.8443916
num_mlp_0_1_outputs,0,-4.0912366,-0.3789182,2.8645475
num_mlp_0_1_outputs,1,-1.0564866,0.03688735,1.1573842
num_mlp_0_1_outputs,10,0.03518597,0.59892094,-0.3672153
